employer,title,city,province,salary,date,source,direct,search_occupation,url,posting_id
Mariner,senior software developer,Halifax,NS,$30.00 to $76.92 hourly,"June 15, 2026",CareerBeacon,False,software developer (NOC 21232),https://www.jobbank.gc.ca/jobsearch/jobposting/49718941,49718941
Mariner,software developer,Halifax,NS,$30.00 to $76.92 hourly,"June 14, 2026",CareerBeacon,False,software developer (NOC 21232),https://www.jobbank.gc.ca/jobsearch/jobposting/49714248,49714248
Techladder Inc.,Java programmer,"Sydney, NS",,$40.67 hourly,"May 13, 2026",Job Bank,True,software developer (NOC 21232),https://www.jobbank.gc.ca/jobsearch/jobposting/49504954,49504954
"Public Service Commission, Government of Nova Scotia",devops engineer,Halifax,NS,$35.00 to $91.35 hourly,"June 11, 2026",CareerBeacon,False,software engineer (NOC 21231),https://www.jobbank.gc.ca/jobsearch/jobposting/49698389?source=searchresults,49698389
"Public Service Commission, Government of Nova Scotia",data scientist,Halifax,NS,$30.00 to $69.74 hourly,"June 06, 2026",CareerBeacon,False,data scientist (NOC 21211),https://www.jobbank.gc.ca/jobsearch/jobposting/49662944?source=searchresults,49662944
Mariner,database architect,Halifax,NS,$25.00 to $61.03 hourly,"June 14, 2026",CareerBeacon,False,data analyst (NOC 21223),https://www.jobbank.gc.ca/jobsearch/jobposting/49714196?source=searchresults,49714196
Benefact Group,information technology (IT) analyst,Dartmouth,NS,"$95,500.00 to $135,500.00 annually","June 18, 2026",Talent.com,False,systems analyst (NOC 21222),https://www.jobbank.gc.ca/jobsearch/jobposting/49750558?source=searchresults,49750558
FYidoctors,information technology (IT) analyst,Bedford,NS,$30.00 hourly,"June 16, 2026",Talent.com,False,systems analyst (NOC 21222),https://www.jobbank.gc.ca/jobsearch/jobposting/49734534?source=searchresults,49734534
Mariner,solutions architect - information technology (IT),Halifax,NS,$28.85 to $68.68 hourly,"June 15, 2026",CareerBeacon,False,systems analyst (NOC 21222),https://www.jobbank.gc.ca/jobsearch/jobposting/49718974?source=searchresults,49718974
IMP Aerospace and Defence,"analyst, systems",Halifax,NS,$28.85 to $68.68 hourly,"June 14, 2026",CareerBeacon,False,systems analyst (NOC 21222),https://www.jobbank.gc.ca/jobsearch/jobposting/49714312?source=searchresults,49714312
The Government of Nova Scotia,systems specialist - computer systems,Halifax,NS,"$2,912.93 to $3,547.06 biweekly","June 11, 2026",Nova Scotia Public Service Commission,False,systems analyst (NOC 21222),https://www.jobbank.gc.ca/jobsearch/jobposting/49697476?source=searchresults,49697476
FYidoctors,information technology (IT) analyst,Windsor,NS,$30.00 hourly,"June 03, 2026",Talent.com,False,systems analyst (NOC 21222),https://www.jobbank.gc.ca/jobsearch/jobposting/49726387?source=searchresults,49726387
FYidoctors,information technology (IT) analyst,Elmsdale,NS,$30.00 hourly,"June 02, 2026",Talent.com,False,systems analyst (NOC 21222),https://www.jobbank.gc.ca/jobsearch/jobposting/49726784?source=searchresults,49726784
BMT,information technology (IT) analyst,Dartmouth,NS,"$55,000.00 annually","May 26, 2026",Talent.com,False,systems analyst (NOC 21222),https://www.jobbank.gc.ca/jobsearch/jobposting/49734508?source=searchresults,49734508
Liberty Mutual Canada,information technology (IT) analyst,Halifax,NS,"$82,000.00 annually","May 23, 2026",Talent.com,False,systems analyst (NOC 21222),https://www.jobbank.gc.ca/jobsearch/jobposting/49726487?source=searchresults,49726487
Rentokil Initial,information technology (IT) analyst,Halifax,NS,"$42,000.00 to $46,000.00 annually","May 23, 2026",Talent.com,False,systems analyst (NOC 21222),https://www.jobbank.gc.ca/jobsearch/jobposting/49741315?source=searchresults,49741315
Fastening House Atlantic,systems specialist - computer systems,Dartmouth,NS,$45.00 hourly,"March 30, 2026",Job Bank,True,systems analyst (NOC 21222),https://www.jobbank.gc.ca/jobsearch/jobposting/49196498?source=searchresults,49196498
"Public Service Commission, Government of Nova Scotia",business systems analyst,Halifax,NS,$30.67 to $62.50 hourly,"June 16, 2026",CareerBeacon,False,business systems (NOC 21221),https://www.jobbank.gc.ca/jobsearch/jobposting/49727593?source=searchresults,49727593
The Government of Nova Scotia,information systems technical specialist,Halifax,NS,"$3,410.48 to $4,005.58 biweekly","June 15, 2026",Nova Scotia Public Service Commission,False,business systems (NOC 21221),https://www.jobbank.gc.ca/jobsearch/jobposting/49720225?source=searchresults,49720225
Mariner,business systems analyst,Halifax,NS,$30.67 to $62.50 hourly,"June 14, 2026",CareerBeacon,False,business systems (NOC 21221),https://www.jobbank.gc.ca/jobsearch/jobposting/49714139?source=searchresults,49714139
Techladder Inc.,business systems analyst,"Sydney, NS",,$46.15 hourly,"May 13, 2026",Job Bank,True,business systems (NOC 21221),https://www.jobbank.gc.ca/jobsearch/jobposting/49504960?source=searchresults,49504960
IMP Solutions,"manager, IT (information technology) implementation",Halifax,NS,$43.75 to $103.37 hourly,"June 12, 2026",CareerBeacon,False,information systems (NOC 21222),https://www.jobbank.gc.ca/jobsearch/jobposting/49702348?source=searchresults,49702348
Mariner,"manager, IT (information technology) implementation",Halifax,NS,$43.75 to $103.37 hourly,"June 01, 2026",CareerBeacon,False,information systems (NOC 21222),https://www.jobbank.gc.ca/jobsearch/jobposting/49623926?source=searchresults,49623926
IMP Solutions,network systems engineer,Halifax,NS,$32.05 to $78.85 hourly,"June 12, 2026",CareerBeacon,False,network engineer (NOC 22220),https://www.jobbank.gc.ca/jobsearch/jobposting/49702340?source=searchresults,49702340
Coastal Financial Credit Union,informatics security consultant,Yarmouth,NS,$30.00 to $72.12 hourly,"June 15, 2026",CareerBeacon,False,cybersecurity (NOC 21220),https://www.jobbank.gc.ca/jobsearch/jobposting/49720249?source=searchresults,49720249
IMP Solutions,"analyst, informatics security",Halifax,NS,$30.00 to $72.12 hourly,"June 12, 2026",CareerBeacon,False,cybersecurity (NOC 21220),https://www.jobbank.gc.ca/jobsearch/jobposting/49702343?source=searchresults,49702343
Mariner,informatics security analyst,Halifax,NS,$30.00 to $72.12 hourly,"June 06, 2026",CareerBeacon,False,cybersecurity (NOC 21220),https://www.jobbank.gc.ca/jobsearch/jobposting/49662784?source=searchresults,49662784
Aqualitas Inc.,information technology (IT) security architect,Brooklyn,NS,"$65,000.00 to $75,000.00 annually (to be negotiated)","May 28, 2026",Job Bank,True,cybersecurity (NOC 21220),https://www.jobbank.gc.ca/jobsearch/jobposting/49604416?source=searchresults,49604416
